AREA_ID,AREA_NAME,REGION_NAME,REGION_CODE
AREA_KT_001,東京都心北部エリア,関東,KANTO1
AREA_KT_002,東京都心南部エリア,関東,KANTO1
AREA_KT_003,東京臨海エリア,関東,KANTO1
AREA_KT_004,新宿・渋谷エリア,関東,KANTO1
AREA_KT_005,池袋・上野エリア,関東,KANTO1
AREA_KT_006,品川・大田エリア,関東,KANTO1
AREA_KT_007,横浜中心部エリア,関東,KANTO1
AREA_KT_008,川崎エリア,関東,KANTO1
AREA_KT_009,さいたまエリア,関東,KANTO1
AREA_KT_010,千葉中心部エリア,関東,KANTO1
AREA_KT_011,多摩エリア,関東,KANTO1
AREA_KT_012,湘南エリア,関東,KANTO1
AREA_KT_013,つくばエリア,関東,KANTO1
AREA_KT_014,相模原エリア,関東,KANTO1
AREA_KT_015,群馬・栃木エリア,関東,KANTO1
AREA_KK_001,大阪梅田エリア,近畿,KINKI1
AREA_KK_002,大阪難波エリア,近畿,KINKI1
AREA_KK_003,大阪湾岸エリア,近畿,KINKI1
AREA_KK_004,京都中心部エリア,近畿,KINKI1
AREA_KK_005,神戸三宮エリア,近畿,KINKI1
AREA_KK_006,神戸西部エリア,近畿,KINKI1
AREA_KK_007,奈良エリア,近畿,KINKI1
AREA_KK_008,堺エリア,近畿,KINKI1
AREA_KK_009,京都南部エリア,近畿,KINKI1
AREA_KK_010,和歌山エリア,近畿,KINKI1
AREA_KK_011,滋賀エリア,近畿,KINKI1
AREA_KK_012,姫路エリア,近畿,KINKI1
AREA_TK_001,名古屋駅周辺エリア,東海,TOKAI1
AREA_TK_002,名古屋栄エリア,東海,TOKAI1
AREA_TK_003,名古屋港エリア,東海,TOKAI1
AREA_TK_004,豊田エリア,東海,TOKAI1
AREA_TK_005,静岡エリア,東海,TOKAI1
AREA_TK_006,浜松エリア,東海,TOKAI1
AREA_TK_007,岐阜エリア,東海,TOKAI1
AREA_TK_008,三重北部エリア,東海,TOKAI1
AREA_TK_009,沼津・富士エリア,東海,TOKAI1
AREA_TK_010,岡崎エリア,東海,TOKAI1
AREA_TK_011,一宮・小牧エリア,東海,TOKAI1
AREA_TK_012,伊勢志摩エリア,東海,TOKAI1
AREA_KS_001,福岡天神エリア,九州,KYUSH1
AREA_KS_002,福岡博多エリア,九州,KYUSH1
AREA_KS_003,北九州エリア,九州,KYUSH1
AREA_KS_004,熊本エリア,九州,KYUSH1
AREA_KS_005,鹿児島エリア,九州,KYUSH1
AREA_KS_006,長崎エリア,九州,KYUSH1
AREA_KS_007,大分エリア,九州,KYUSH1
AREA_KS_008,宮崎エリア,九州,KYUSH1
AREA_KS_009,佐賀エリア,九州,KYUSH1
AREA_KS_010,久留米エリア,九州,KYUSH1
AREA_KS_011,沖縄那覇エリア,九州,KYUSH1
